Date,MovingR0,Flag
2020-02-06,1.493654021,Historic
2020-02-07,1.276373305,Historic
2020-02-08,3.407149458,Historic
2020-02-09,3.726689345,Historic
2020-02-10,3.534380765,Historic
2020-02-11,3.631795303,Historic
2020-02-12,2.69852071,Historic
2020-02-13,2.240732003,Historic
2020-02-14,1.880677891,Historic
2020-02-15,0.698127643,Historic
2020-02-16,0.417743857,Historic
2020-02-17,0.391926047,Historic
2020-02-18,0.194776118,Historic
2020-02-19,0.205074215,Historic
2020-02-20,0.227223914,Historic
2020-02-21,0.527166692,Historic
2020-02-22,0.635799397,Historic
2020-02-23,1.178464185,Historic
2020-02-24,2.423229651,Historic
2020-02-25,5.760318077,Historic
2020-02-26,8.683334095,Historic
2020-02-27,12.20487478,Historic
2020-02-28,13.42525418,Historic
2020-02-29,10.14945158,Historic
2020-03-01,10.01956977,Historic
2020-03-02,10.61436915,Historic
2020-03-03,11.03029792,Historic
2020-03-04,10.1174294,Historic
2020-03-05,8.211191706,Historic
2020-03-06,7.068235395,Historic
2020-03-07,5.83156427,Historic
2020-03-08,4.537141445,Historic
2020-03-09,4.229633919,Historic
2020-03-10,4.535668376,Historic
2020-03-11,5.297004799,Historic
2020-03-12,5.920304175,Historic
2020-03-13,5.897155467,Historic
2020-03-14,5.225834437,Historic
2020-03-15,4.62340911,Historic
2020-03-16,4.117471817,Historic
2020-03-17,3.694715955,Historic
2020-03-18,3.40124809,Historic
2020-03-19,3.119985639,Historic
2020-03-20,2.984433993,Historic
2020-03-21,2.863267891,Historic
2020-03-22,2.769940483,Historic
2020-03-23,2.912467736,Historic
2020-03-24,2.939046836,Historic
2020-03-25,2.923692838,Historic
2020-03-26,2.916482244,Historic
2020-03-27,2.821778194,Historic
2020-03-28,2.644135505,Historic
2020-03-29,2.443222864,Historic
2020-03-30,2.30609334,Historic
2020-03-31,2.196746539,Historic
2020-04-01,2.107958138,Historic
2020-04-02,1.992655961,Historic
2020-04-03,1.88823802,Historic
2020-04-04,1.765890955,Historic
2020-04-05,1.637116718,Historic
2020-04-06,1.542692238,Historic
2020-04-07,1.461942076,Historic
2020-04-08,1.366924447,Historic
2020-04-09,1.283117177,Historic
2020-04-10,1.194090502,Historic
2020-04-11,1.125269746,Historic
2020-04-12,1.081077586,Historic
2020-04-13,1.014812229,Historic
2020-04-14,0.958391655,Historic
2020-04-15,0.944228375,Historic
2020-04-16,0.952610718,Historic
2020-04-17,0.973594484,Historic
2020-04-18,1.015322537,Historic
2020-04-19,1.034309854,Historic
2020-04-20,1.061985514,Historic
2020-04-21,1.078938335,Historic
2020-04-22,1.091095598,Historic
2020-04-23,1.080399555,Historic
2020-04-24,1.070528889,Historic
2020-04-25,1.028656883,Historic
2020-04-26,1.005262988,Historic
2020-04-27,0.991016084,Historic
2020-04-28,0.983162276,Historic
2020-04-29,0.977749756,Historic
2020-04-30,0.971617868,Historic
2020-05-01,0.966806371,Historic
2020-05-02,0.953943239,Historic
