Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Population, total",SP.POP.TOTL,101669,102046,102560,103159,103774,104341,104872,105366,105845,106314,
Afghanistan,AFG,"Population, total",SP.POP.TOTL,29185507,30117413,31161376,32269589,33370794,34413603,35383128,36296400,37172386,38041754,
Angola,AGO,"Population, total",SP.POP.TOTL,23356246,24220661,25107931,26015780,26941779,27884381,28842484,29816748,30809762,31825295,
Albania,ALB,"Population, total",SP.POP.TOTL,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,
Andorra,AND,"Population, total",SP.POP.TOTL,84449,83747,82427,80774,79213,78011,77297,77001,77006,77142,
Arab World,ARB,"Population, total",SP.POP.TOTL,354890042,363158703,371443547,379705717,387907747,396028278,404024435,411898967,419790591,427870270,
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,8549988,8946777,9141596,9197910,9214175,9262900,9360980,9487203,9630959,9770529,
Argentina,ARG,"Population, total",SP.POP.TOTL,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,
Armenia,ARM,"Population, total",SP.POP.TOTL,2877319,2876538,2884229,2897584,2912403,2925553,2936146,2944809,2951776,2957731,
American Samoa,ASM,"Population, total",SP.POP.TOTL,56079,55759,55667,55713,55791,55812,55741,55620,55465,55312,
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,88028,89253,90409,91516,92562,93566,94527,95426,96286,97118,
Australia,AUS,"Population, total",SP.POP.TOTL,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24982688,25364307,
Austria,AUT,"Population, total",SP.POP.TOTL,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8877067,
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10023318,
Burundi,BDI,"Population, total",SP.POP.TOTL,8675602,8958406,9245988,9540289,9844297,10160030,10487998,10827024,11175378,11530580,
Belgium,BEL,"Population, total",SP.POP.TOTL,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11484055,
Benin,BEN,"Population, total",SP.POP.TOTL,9199259,9460830,9729248,10004588,10286842,10575952,10872067,11175204,11485048,11801151,
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,15605217,16081911,16571246,17072775,17586017,18110624,18646378,19193284,19751535,20321378,
Bangladesh,BGD,"Population, total",SP.POP.TOTL,147575430,149273778,151007807,152764676,154520167,156256276,157970840,159670593,161356039,163046161,
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,
Bahrain,BHR,"Population, total",SP.POP.TOTL,1240860,1278151,1299943,1315029,1336075,1371851,1425791,1494074,1569439,1641172,
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,354942,359577,363584,367168,370633,374206,377931,381761,385640,389482,
